complex_uses,family,snr_db,mode,frames,source_images,raw_payload_bits,accepted_correct_probability,source_packet_BLER,source_index_goodput,psnr_db,lpips,dino_report_only,actual_payload_bits_mean,header_failure_probability,no_accepted_body_probability,body_CRC_failure_given_header_accept,success_lpips_mean,failure_lpips_mean,failure_contribution_to_mean_lpips,failure_frames
4204,arithmetic,1.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4204,arithmetic,1.0,8,300,100,3060,0.87,0.13,2662.2,19.258047620455425,0.19215524025261402,0.8653519613544146,2494.47,0.0,0.13,0.13,0.17016846932099697,0.339297476487282,0.04410867194334666,39
4204,arithmetic,1.0,9,300,100,5088,0.0,1.0,0.0,13.700472127596537,0.4749591433008512,0.5365834024703751,3997.46,0.0,1.0,1.0,,0.4749591433008512,0.4749591433008512,300
4204,arithmetic,4.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4204,arithmetic,4.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,2494.47,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4204,arithmetic,4.0,9,300,100,5088,0.9766666666666667,0.023333333333333317,4969.28,21.17448325475057,0.1363408094768723,0.9088018324971199,3997.46,0.0,0.023333333333333334,0.023333333333333334,0.1301632223097741,0.3949169580425535,0.009214729020992915,7
4204,arithmetic,7.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4204,arithmetic,7.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,2494.47,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4204,arithmetic,7.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,3997.46,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4204,arithmetic,13.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4204,arithmetic,13.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,2494.47,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4204,arithmetic,13.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,3997.46,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4204,arithmetic,19.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4204,arithmetic,19.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,2494.47,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4204,arithmetic,19.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,3997.46,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4204,raw,1.0,7,300,100,1860,0.9933333333333333,0.00666666666666671,1847.6,18.04674217859904,0.23107323174675307,0.8276701305309931,1860.0,0.0,0.006666666666666667,0.006666666666666667,0.23143252635362163,0.17753833532333374,0.0011835889021555583,2
4204,raw,1.0,8,300,100,3060,0.18666666666666668,0.8133333333333334,571.2,19.30642948468526,0.18239714146902164,0.8725245477755864,3060.0,0.0,0.8133333333333334,0.8133333333333334,0.17289898517940724,0.18457704619122822,0.15012266423553228,244
4204,raw,1.0,9,300,100,5088,0.0,1.0,0.0,12.32860383828481,0.5580651982625325,0.17075920182125023,5088.0,0.0,1.0,1.0,,0.5580651982625325,0.5580651982625325,300
4204,raw,4.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1860.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4204,raw,4.0,8,300,100,3060,0.9966666666666667,0.0033333333333332993,3049.8,19.69314369837443,0.1732353296627601,0.8846278854211171,3060.0,0.0,0.0033333333333333335,0.0033333333333333335,0.1730876538815307,0.21739038825035095,0.0007246346275011699,1
4204,raw,4.0,9,300,100,5088,0.5033333333333333,0.4966666666666667,2560.96,21.182929674784344,0.13310430206358434,0.9118586554129918,5088.0,0.0,0.49666666666666665,0.49666666666666665,0.13378381267782077,0.13241567050150577,0.06576644968241453,149
