source_index,image_id,m,N,ND,NA,snr_db,seed,header_ok,header_crc_ok,decoded_mode,decoded_label,body_crc_ok,token_error_rate_including_erasure,prefix_error_normalized,base_error_normalized
2,n01484850/ILSVRC2012_val_00029481_n01484850,6,4084,1200,2816,7,4102,1,1,6,2,1,0.0,0.0,0.7185319662094116
2,n01484850/ILSVRC2012_val_00029481_n01484850,6,4084,1200,2816,7,4103,1,1,6,2,1,0.0,0.0,0.7185319662094116
2,n01484850/ILSVRC2012_val_00029481_n01484850,6,4084,1200,2816,13,4101,1,1,6,2,1,0.0,0.0,0.7185319662094116
2,n01484850/ILSVRC2012_val_00029481_n01484850,6,4084,1200,2816,13,4102,1,1,6,2,1,0.0,0.0,0.7185319662094116
2,n01484850/ILSVRC2012_val_00029481_n01484850,6,4084,1200,2816,13,4103,1,1,6,2,1,0.0,0.0,0.7185319662094116
2,n01484850/ILSVRC2012_val_00029481_n01484850,6,4084,1200,2816,19,4101,1,1,6,2,1,0.0,0.0,0.7185319662094116
2,n01484850/ILSVRC2012_val_00029481_n01484850,6,4084,1200,2816,19,4102,1,1,6,2,1,0.0,0.0,0.7185319662094116
2,n01484850/ILSVRC2012_val_00029481_n01484850,6,4084,1200,2816,19,4103,1,1,6,2,1,0.0,0.0,0.7185319662094116
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,1,4101,1,1,6,3,0,0.17582417582417584,0.05404239892959595,0.7716288566589355
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,1,4102,1,1,6,3,0,0.13186813186813187,0.03189171850681305,0.6846383810043335
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,1,4103,1,1,6,3,0,0.01098901098901099,0.0012876741820946336,0.6120477318763733
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,4,4101,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,4,4102,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,4,4103,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,7,4101,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,7,4102,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,7,4103,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,13,4101,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,13,4102,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,13,4103,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,19,4101,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,19,4102,1,1,6,3,1,0.0,0.0,0.6298254728317261
3,n01491361/ILSVRC2012_val_00049000_n01491361,6,4084,1200,2816,19,4103,1,1,6,3,1,0.0,0.0,0.6298254728317261
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,1,4101,1,1,6,4,0,0.06593406593406594,0.12076763808727264,0.9310778379440308
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,1,4102,1,1,6,4,0,0.0989010989010989,0.015269939787685871,0.8072583079338074
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,1,4103,1,1,6,4,0,0.054945054945054944,0.011494831182062626,0.7908535003662109
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,4,4101,1,1,6,4,1,0.0,0.0,0.7474281191825867
