population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,1.0,4103,3060,2467,1,1,1,1,22.448293685913086,0.15144126117229462
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,4.0,4101,3060,2467,1,1,1,1,22.448293685913086,0.1514412760734558
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,4.0,4102,3060,2467,1,1,1,1,22.448293685913086,0.1514412760734558
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,4.0,4103,3060,2467,1,1,1,1,22.448293685913086,0.1514412760734558
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,7.0,4101,3060,2467,1,1,1,1,22.448293685913086,0.15144126117229462
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,7.0,4102,3060,2467,1,1,1,1,22.448293685913086,0.1514412760734558
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,7.0,4103,3060,2467,1,1,1,1,22.448293685913086,0.1514412760734558
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,13.0,4101,3060,2467,1,1,1,1,22.448293685913086,0.1514412760734558
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,13.0,4102,3060,2467,1,1,1,1,22.448293685913086,0.15144126117229462
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,13.0,4103,3060,2467,1,1,1,1,22.448293685913086,0.1514412760734558
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,19.0,4101,3060,2467,1,1,1,1,22.448293685913086,0.1514412760734558
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,19.0,4102,3060,2467,1,1,1,1,22.448293685913086,0.1514412760734558
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,8,Dc,19.0,4103,3060,2467,1,1,1,1,22.448293685913086,0.15144126117229462
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,1.0,4101,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,1.0,4102,3060,2422,1,0,0,1,25.880538940429688,0.1465333104133606
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,1.0,4103,3060,2422,1,0,0,1,26.93077850341797,0.10245243459939957
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,4.0,4101,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,4.0,4102,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,4.0,4103,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,7.0,4101,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,7.0,4102,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,7.0,4103,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,13.0,4101,3060,2422,1,1,1,1,27.006343841552734,0.08876065164804459
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,13.0,4102,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,13.0,4103,3060,2422,1,1,1,1,27.006343841552734,0.08876065164804459
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,19.0,4101,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,19.0,4102,3060,2422,1,1,1,1,27.006343841552734,0.08876065164804459
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,8,Dc,19.0,4103,3060,2422,1,1,1,1,27.006343841552734,0.08876064419746399
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,1.0,4101,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,1.0,4102,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,1.0,4103,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,4.0,4101,3060,2540,1,1,1,1,23.711271286010742,0.11442740261554718
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,4.0,4102,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,4.0,4103,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
