population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,1.0,4101,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,1.0,4102,1860,1558,1,1,1,1,19.507883071899414,0.2268856167793274
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,1.0,4103,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,4.0,4101,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,4.0,4102,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,4.0,4103,1860,1558,1,1,1,1,19.507883071899414,0.2268856167793274
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,7.0,4101,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,7.0,4102,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,7.0,4103,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,13.0,4101,1860,1558,1,1,1,1,19.507883071899414,0.2268856167793274
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,13.0,4102,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,13.0,4103,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,19.0,4101,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,19.0,4102,1860,1558,1,1,1,1,19.507883071899414,0.2268856167793274
calibration,0,n01440764/ILSVRC2012_val_00045866_n01440764,arithmetic,4084,7,Dc,19.0,4103,1860,1558,1,1,1,1,19.507883071899414,0.22688564658164978
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,1.0,4101,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,1.0,4102,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,1.0,4103,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,4.0,4101,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,4.0,4102,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,4.0,4103,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,7.0,4101,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,7.0,4102,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,7.0,4103,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,13.0,4101,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,13.0,4102,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,13.0,4103,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,19.0,4101,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,19.0,4102,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,1,n01443537/ILSVRC2012_val_00044095_n01443537,arithmetic,4084,7,Dc,19.0,4103,1860,1617,1,1,1,1,17.99635124206543,0.2678041160106659
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,1.0,4101,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,1.0,4102,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,1.0,4103,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,4.0,4101,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,4.0,4102,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,4.0,4103,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,7.0,4101,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,7.0,4102,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,7.0,4103,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,13.0,4101,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,13.0,4102,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,13.0,4103,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,19.0,4101,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,19.0,4102,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,arithmetic,4084,7,Dc,19.0,4103,1860,1543,1,1,1,1,21.063730239868164,0.20741435885429382
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,1.0,4101,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,1.0,4102,1860,1484,1,1,1,1,25.90602684020996,0.1346893608570099
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,1.0,4103,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,4.0,4101,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,4.0,4102,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,4.0,4103,1860,1484,1,1,1,1,25.90602684020996,0.1346893608570099
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,7.0,4101,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,7.0,4102,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,7.0,4103,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,13.0,4101,1860,1484,1,1,1,1,25.90602684020996,0.1346893608570099
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,13.0,4102,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,13.0,4103,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,19.0,4101,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,19.0,4102,1860,1484,1,1,1,1,25.90602684020996,0.1346893608570099
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,arithmetic,4084,7,Dc,19.0,4103,1860,1484,1,1,1,1,25.90602684020996,0.1346893459558487
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,1.0,4101,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,1.0,4102,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,1.0,4103,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,4.0,4101,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,4.0,4102,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,4.0,4103,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,7.0,4101,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,7.0,4102,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,7.0,4103,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,13.0,4101,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,13.0,4102,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,13.0,4103,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,19.0,4101,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,19.0,4102,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,7,Dc,19.0,4103,1860,1536,1,1,1,1,21.974746704101562,0.19974640011787415
