population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,4.0,4101,5088,5088,1,0,0,1,24.382802963256836,0.09398402273654938
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,4.0,4102,5088,5088,1,0,0,1,24.51307487487793,0.08913172781467438
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,4.0,4103,5088,5088,1,0,0,1,24.431320190429688,0.09068068116903305
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,24.62285804748535,0.08903346955776215
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,24.62285804748535,0.08903346955776215
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,24.62285804748535,0.08903346955776215
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,24.62285804748535,0.08903346955776215
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,24.62285804748535,0.08903346955776215
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,24.62285804748535,0.08903346955776215
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,24.62285804748535,0.08903346955776215
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,24.62285804748535,0.08903346955776215
calibration,2,n01484850/ILSVRC2012_val_00029481_n01484850,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,24.62285804748535,0.08903346955776215
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,14.05065631866455,0.513709545135498
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,9.737571716308594,0.7868885397911072
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,9.191178321838379,0.8075132966041565
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,4.0,4101,5088,5088,1,0,0,1,28.117801666259766,0.08279229700565338
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,4.0,4102,5088,5088,1,0,0,1,28.342090606689453,0.0719325989484787
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,4.0,4103,5088,5088,1,0,0,1,26.537864685058594,0.1009492352604866
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,28.283226013183594,0.07331910729408264
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,28.283226013183594,0.07331910729408264
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,28.283226013183594,0.07331910729408264
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,28.283226013183594,0.07331910729408264
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,28.283226013183594,0.07331910729408264
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,28.283226013183594,0.07331910729408264
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,19.0,4101,5088,5088,1,1,1,1,28.283226013183594,0.07331910729408264
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,19.0,4102,5088,5088,1,1,1,1,28.283226013183594,0.07331910729408264
