method,selected_endpoint,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
calibration_frozen_resource_lookup,m8_plus_latent_1024,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,22.36475944519043,0.09225913882255554,0.8297635316848755
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2001,4084,8168,16.970129013061523,0.32139164209365845,0.8031611442565918
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2002,4084,8168,17.263336181640625,0.3175118565559387,0.697105348110199
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,17.437936782836914,0.29278111457824707,0.7940871715545654
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,18.082040786743164,0.23945072293281555,0.8234999179840088
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,18.113967895507812,0.24617184698581696,0.8620375990867615
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,18.032405853271484,0.24510961771011353,0.8072289228439331
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,18.253314971923828,0.23691439628601074,0.852773904800415
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,4084,8168,18.268028259277344,0.2368251085281372,0.873405933380127
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,4084,8168,18.214696884155273,0.2361217737197876,0.8281907439231873
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,4084,8168,18.40369987487793,0.2283163219690323,0.8697937726974487
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,4084,8168,18.401914596557617,0.22886042296886444,0.8794056177139282
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,4084,8168,18.38045310974121,0.22737857699394226,0.8617560863494873
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,4084,8168,18.431304931640625,0.22630399465560913,0.8725853562355042
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,4084,8168,18.42789649963379,0.22556355595588684,0.8785974979400635
calibration_frozen_resource_lookup,m8_plus_latent_1024,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,4084,8168,18.418039321899414,0.22619259357452393,0.8697764873504639
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,4084,8168,16.106903076171875,0.23383913934230804,0.8206185102462769
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,4084,8168,15.762260437011719,0.28886741399765015,0.5963953733444214
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,16.214963912963867,0.2062859982252121,0.8008663654327393
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,17.200082778930664,0.16630080342292786,0.8555053472518921
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,17.23331069946289,0.16591320931911469,0.850184440612793
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,17.203386306762695,0.16068391501903534,0.8975820541381836
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,17.411235809326172,0.15937796235084534,0.8702276945114136
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,17.43997573852539,0.15802539885044098,0.8694087266921997
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,17.41520118713379,0.1545349508523941,0.895763635635376
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,17.618810653686523,0.15112145245075226,0.8877707719802856
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,4084,8168,17.630369186401367,0.15002384781837463,0.8841329216957092
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,4084,8168,17.617961883544922,0.14742696285247803,0.8953371047973633
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,4084,8168,17.6783390045166,0.14749890565872192,0.8934285044670105
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,4084,8168,17.682355880737305,0.14730539917945862,0.8886818885803223
calibration_frozen_resource_lookup,m8_plus_latent_1024,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,4084,8168,17.67625617980957,0.14629188179969788,0.896033525466919
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,4084,8168,18.209169387817383,0.20691923797130585,0.8198611736297607
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,4084,8168,18.257490158081055,0.20534870028495789,0.7987127304077148
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,4084,8168,18.072837829589844,0.23256376385688782,0.8256282210350037
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,4084,8168,19.27340316772461,0.16917669773101807,0.8624664545059204
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,4084,8168,19.243650436401367,0.168693408370018,0.8521304130554199
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,4084,8168,19.15032386779785,0.1675206571817398,0.8377494215965271
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,4084,8168,19.432199478149414,0.1631380021572113,0.8647019267082214
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,4084,8168,19.40347671508789,0.16352713108062744,0.8543897867202759
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,4084,8168,19.33342742919922,0.16348165273666382,0.8313676714897156
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,4084,8168,19.57988929748535,0.15962572395801544,0.8631126284599304
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,4084,8168,19.55409812927246,0.1596401482820511,0.8562214374542236
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,4084,8168,19.514644622802734,0.15875597298145294,0.8427820205688477
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,4084,8168,19.604843139648438,0.15946507453918457,0.8604899644851685
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,4084,8168,19.5872745513916,0.15976427495479584,0.8551087379455566
calibration_frozen_resource_lookup,m8_plus_latent_1024,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,4084,8168,19.567411422729492,0.1587587296962738,0.8499600887298584
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,4084,8168,23.098154067993164,0.22459056973457336,0.4421520233154297
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,4084,8168,23.990814208984375,0.185548335313797,0.8109860420227051
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,4084,8168,23.890239715576172,0.15398375689983368,0.7874988913536072
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,4084,8168,24.345584869384766,0.12904149293899536,0.8564645051956177
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,4084,8168,24.34772300720215,0.12950316071510315,0.8198777437210083
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,4084,8168,24.27727699279785,0.12911047041416168,0.8564283847808838
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2001,4084,8168,24.473758697509766,0.12327320128679276,0.86194908618927
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2002,4084,8168,24.489456176757812,0.12243242561817169,0.838557243347168
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2003,4084,8168,24.42086410522461,0.12454560399055481,0.8613849878311157
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2001,4084,8168,24.586772918701172,0.12065993994474411,0.8542475700378418
