method,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,1.0,2003,4084,8168,17.437936782836914,0.29278111457824707,0.7940871715545654
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2001,4084,8168,17.807722091674805,0.270640105009079,0.8708611726760864
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,17.790449142456055,0.2708871364593506,0.8700398206710815
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,17.821714401245117,0.265037477016449,0.869322657585144
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,17.939130783081055,0.2647434175014496,0.8751661777496338
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,4084,8168,17.920541763305664,0.2636295258998871,0.8666601181030273
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,4084,8168,17.936187744140625,0.26184090971946716,0.8697033524513245
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,4084,8168,18.071949005126953,0.2586505115032196,0.8788312077522278
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,4084,8168,18.057809829711914,0.2566940188407898,0.8700814247131348
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,4084,8168,18.0594425201416,0.25609639286994934,0.8755995035171509
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,4084,8168,18.11353302001953,0.25648826360702515,0.8761987686157227
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,4084,8168,18.105432510375977,0.2553095519542694,0.8700466156005859
m8_plus_latent_512_fold_N4084,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,4084,8168,18.10250473022461,0.25503212213516235,0.8751305341720581
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,4084,8168,16.106903076171875,0.23383913934230804,0.8206185102462769
