method,sources,frames,psnr_db,lpips_alex,dino_cosine
PCA_residual,100,1500,20.865939227422082,0.16356937950601183,0.8727306727866331
PCA_source,100,1500,20.91088103930156,0.1615892521813512,0.8759395976463951
random_residual,100,1500,20.567686602910364,0.16924840009460848,0.8660217848022779
random_source,100,1500,20.62047233835856,0.16643072113146384,0.8699125504096347
