method,snr_db,N,E_mean,E_min,E_p05,E_p95,E_max,mean_energy_per_use,constraint,table_sha256
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m8,19,3060,6118.9616000000005,5883.2,6001.6,6227.200000000001,6336.0,1.9996606535947714,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,1,3060,6118.9952,5936.0,6025.6,6211.280000000001,6316.8,1.9996716339869283,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,4,3060,6118.9952,5936.0,6025.6,6211.280000000001,6316.8,1.9996716339869283,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,7,3060,6118.9952,5936.0,6025.6,6211.280000000001,6316.8,1.9996716339869283,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,13,3060,6118.9952,5936.0,6025.6,6211.280000000001,6316.8,1.9996716339869283,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N3060/m9,19,3060,6118.9952,5936.0,6025.6,6211.280000000001,6316.8,1.9996716339869283,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,1,4084,8163.2288,7966.4,8046.4,8281.6,8366.400000000001,1.9988317335945152,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,4,4084,8163.2288,7966.4,8046.4,8281.6,8366.400000000001,1.9988317335945152,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,7,4084,8163.2288,7966.4,8046.4,8281.6,8366.400000000001,1.9988317335945152,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,13,4084,8163.2288,7966.4,8046.4,8281.6,8366.400000000001,1.9988317335945152,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,19,4084,8163.2288,7966.4,8046.4,8281.6,8366.400000000001,1.9988317335945152,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,1,4084,8166.6224,7612.8,7940.8,8404.8,8665.600000000002,1.9996626836434868,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,4,4084,8166.6224,7612.8,7940.8,8404.8,8665.600000000002,1.9996626836434868,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,7,4084,8166.6224,7612.8,7940.8,8404.8,8665.600000000002,1.9996626836434868,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,13,4084,8166.6224,7612.8,7940.8,8404.8,8665.600000000002,1.9996626836434868,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,19,4084,8166.6224,7612.8,7940.8,8404.8,8665.600000000002,1.9996626836434868,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,1,4084,8165.534400000001,7822.4,7974.4,8347.36,8515.2,1.9993962781586683,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,4,4084,8165.534400000001,7822.4,7974.4,8347.36,8515.2,1.9993962781586683,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,7,4084,8165.534400000001,7822.4,7974.4,8347.36,8515.2,1.9993962781586683,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,13,4084,8165.534400000001,7822.4,7974.4,8347.36,8515.2,1.9993962781586683,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,19,4084,8165.534400000001,7822.4,7974.4,8347.36,8515.2,1.9993962781586683,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
